epoch,acc,loss,val_acc,val_loss
0,0.9839340150356293,0.013809999451041222,0.9840555787086487,0.014022991992533207
1,0.9838854074478149,0.013821917586028576,0.9839930534362793,0.014014004729688168
2,0.9838333427906036,0.013853278942406178,0.9839479327201843,0.014009487815201283
3,0.9839403033256531,0.013800826389342546,0.984003484249115,0.014002034440636635
4,0.9839666485786438,0.013779599219560623,0.9840381741523743,0.014005463570356369
5,0.9838201403617859,0.0138695421628654,0.9840208292007446,0.013984288088977337
6,0.9839791655540466,0.013790342025458813,0.9840260148048401,0.013972149230539799
7,0.983971506357193,0.01375395618379116,0.9840121269226074,0.013959825038909912
8,0.9839465320110321,0.013759185560047626,0.9840381741523743,0.013961735181510448
9,0.9839541614055634,0.013756570406258106,0.9840347170829773,0.01395778451114893
10,0.9839389026165009,0.013748045545071363,0.9840399026870728,0.013952519744634628
11,0.9839749932289124,0.013729901984333992,0.9840555787086487,0.013955026865005493
12,0.9840180575847626,0.013719499576836824,0.9840677380561829,0.013948963023722172
13,0.9839569330215454,0.01373555650934577,0.9840711951255798,0.013936523348093033
14,0.9840124845504761,0.013708902057260275,0.9840746521949768,0.013921494595706463
15,0.9839520752429962,0.013774929568171501,0.9840659499168396,0.01390779297798872
16,0.9840222299098969,0.01368793984875083,0.9840590357780457,0.013897856697440147
17,0.984006255865097,0.013711396139115095,0.98404860496521,0.013893715105950832
18,0.9839895963668823,0.013728657271713018,0.9840798377990723,0.013892737217247486
19,0.9840291440486908,0.013672334607690573,0.9841215014457703,0.01389491930603981
20,0.984024316072464,0.013682365417480469,0.9841197729110718,0.013891526497900486
21,0.9839416742324829,0.013750599231570959,0.9841145873069763,0.01388139370828867
22,0.9840618073940277,0.013688552659004927,0.984125018119812,0.013869612477719784
23,0.9840576350688934,0.013676449190825224,0.9841180443763733,0.013864725828170776
24,0.9840826392173767,0.013654898852109909,0.9841215014457703,0.013861872255802155
25,0.9840388894081116,0.013654564507305622,0.9841510653495789,0.013861999846994877
26,0.9840632081031799,0.01364792650565505,0.9841510653495789,0.013851620256900787
27,0.9840736091136932,0.013668315019458532,0.9841510653495789,0.013829649426043034
28,0.9841479361057281,0.013614124152809381,0.9841215014457703,0.013812516815960407
29,0.9839048385620117,0.013753038365393877,0.9841215014457703,0.013812211342155933
30,0.9841548502445221,0.013601846992969513,0.9841597080230713,0.013815607875585556
